"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2026-01-31 11:00:58","""1739340""","""170.187.237.39:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/170.187.237.39""","""AS63949","censys"
"2026-01-31 11:00:35","""1739339""","""144.172.88.250:7001""","""ip:port""","""botnet_cc""","""win.dcrat""","""DarkCrystal RAT""","""DCRat""","""2026-02-01 03:43:59""","""100""","""False""","""https://search.censys.io/hosts/144.172.88.250""","""AS14956","C2"
"2026-01-31 11:00:26","""1739338""","""144.126.149.104:95""","""ip:port""","""botnet_cc""","""win.asyncrat""","""None""","""AsyncRAT""","""2026-02-01 03:43:57""","""100""","""False""","""https://search.censys.io/hosts/144.126.149.104""","""AS40021","C2"
"2026-01-31 11:00:25","""1739337""","""178.16.54.184:6606""","""ip:port""","""botnet_cc""","""win.asyncrat""","""None""","""AsyncRAT""","""2026-02-01 03:45:30""","""100""","""False""","""https://search.censys.io/hosts/178.16.54.184""","""AS202412","C2"
"2026-01-31 11:00:24","""1739336""","""121.91.230.182:8808""","""ip:port""","""botnet_cc""","""win.asyncrat""","""None""","""AsyncRAT""","""2026-02-01 03:43:34""","""100""","""False""","""https://search.censys.io/hosts/121.91.230.182""","""AS398465","C2"
"2026-01-31 11:00:10","""1739335""","""120.55.195.205:80""","""ip:port""","""botnet_cc""","""win.cobalt_strike""","""Agentemis","BEACON","CobaltStrike","cobeacon""","""Cobalt Strike""","""2026-01-31 12:00:08""","""100""","""False"""
"2026-01-31 09:16:12","""1739332""","""77.110.103.209:80""","""ip:port""","""botnet_cc""","""unknown_stealer""","""None""","""Unknown Stealer""","""""","""75""","""False""","""https://bazaar.abuse.ch/sample/a916b4c223f86c473f7a995283ebbbe57f74d52bffb47070656a23a34d619256/""","""Xillen","XillenStealer"""
"2026-01-31 08:47:28","""1739324""","""36.142.6.173:10250""","""ip:port""","""botnet_cc""","""win.deimos_c2""","""None""","""DeimosC2""","""2026-02-01 03:46:56""","""75""","""False""","""None""","""Deimos","drb-ra"""
"2026-01-31 08:47:06","""1739323""","""223.215.161.16:10250""","""ip:port""","""botnet_cc""","""win.deimos_c2""","""None""","""DeimosC2""","""2026-02-01 03:46:41""","""75""","""False""","""None""","""Deimos","drb-ra"""
"2026-01-31 08:44:46","""1739322""","""172.245.195.198:20905""","""ip:port""","""botnet_cc""","""unknown_rat""","""None""","""Unknown RAT""","""""","""50""","""False""","""https://bazaar.abuse.ch/sample/7d172e9037ee622fa08eeebdf052c536844748cc1d94003848f4958e47845714/""","""None""","""0"""
